Year,Mean_maximum_ozone_hole_area,Mean_minimum_ozone_concentration
1979,0.1,225
1980,1.4,203
1981,0.6,209.5
1982,4.8,185
1983,7.9,172.9
1984,10.1,163.6
1985,14.2,146.5
1986,11.3,157.8
1987,19.3,123
1988,10,171
1989,18.7,127
1990,19.2,124.2
1991,18.8,119
1992,22.3,114.3
1993,24.2,112.6
1994,23.6,92.3
1996,22.7,108.8
1997,22.1,108.8
1998,25.9,98.8
1999,23.2,102.9
2000,24.8,98.7
2001,25,100.9
2002,12,157.4
2003,25.8,108.7
2004,19.5,123.5
2005,24.4,113.8
2006,26.6,98.2
2007,22,116.2
2008,25.2,114.1
2009,22,107.5
2010,19.4,128
2011,24.7,106.2
2012,17.8,139.1
2013,21,132.5
2014,20.9,128.6
2015,25.6,116.5
2016,20.9,124.3
